"X","Item.label","English..translation","Item.description","Additional..comments","Response.scale....anchoring","X.1","Conditional.branching","X.2","Where.does.this.item.appear.","X.3","X.4","X.5","X.6","X.7","What.populations.have.the.items.been.used.with.","X.8","X.9","X.10","X.11","X.12","X.13","X.14","Which.datasets.does..this.item.appear.in.","Contact.person.for.each.dataset....Email","Are.datasets.","X.15","X.16","X.17","Citation.s..for.each.item.group.of.items","Adapted.from.an.existing.item...Optional.","Reference.for.existing.item..Optional.","How.have.items.been..administered..e.g..pen.paper...phone..PalmPilot..etc.","How.long.after.the..beep.could.begin.filling.out.the.item.","Psychometrics..optional.","X.18","Remarks..optional.","X.19","X.20","X.21"
"","denk aan de meest negatieve gebeurtenis. dit was belangrijk voor mij (belang): ","think about the most negative event today. this was important for me: ","negative event - importance","","minus 3 - very unimportant (zeer onbelangrijk) 3 - very important (zeer belangrijk) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest negatieve gebeurtenis. ik had controle over deze gebeurtenis. ","think about the most negative event today. i felt in control. ","negative event - control ","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest negatieve gebeurtenis. ik heb het er met iemand over gehad. ","think about the most negative event today. i talked about it to someone. ","emotion regulation - support","","0 no (nee) 1 yes (ja)","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","deze personen reageerden met begrip. ","these people reacted with sympathy.  ","emotion regulation - perceived support","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","think about the most negative event today. i talked about it to someone. ","yes","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","ik had het er graag met iemand over gehad. ","i had rather talked about it to someone. ","emotion regulation - desired social support","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","think about the most negative event today. i talked about it to someone. ","no","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest negatieve gebeurtenis. ik heb er nog veel aan gedacht. ","think about the most negative event today. i thought a lot about it. ","emotion regulation - rumination","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest negatieve gebeurtenis. ik heb het gerelativeerd. ","think about the most negative event today. i put it into perspective. ","emotion regulation - perspective taking","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest negatieve gebeurtenis. ik heb het gewoon laten gebeuren. ","think about the most negative event today. i let it happen. ","emotion regulation - acceptance","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest negatieve gebeurtenis. ik heb mijn emoties getoond. ","think about the most negative event today. i showed my emotions. ","emotion regulation - emotion expression","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest negatieve gebeurtenis. ik probeerde het snel te vergeten. ","think about the most negative event today. i tried to quickly forget it. ","emotion regulation - avoidance","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest negatieve gebeurtenis. ik probeerde de situatie te veranderen. ","think about the most negative event today. i tried to change the situation. ","emotion regulation - active coping","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest positieve gebeurtenis. wanneer was dit? ","think about the most positive event today. when did this happen? ","positive event - time","","1) voormiddag 2) namiddag 3) avond ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest positieve gebeurtenis. waar was dit? ","think about the most positive event today.where did this happen? ","positive event - location ","","1) thuis 2) bij familie, vrienden 3) werk of school 4) openbare plaats 5) onderweg 6) ergens anders","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest positieve gebeurtenis. met wie was dit? ","think about the most positive event today. who was there? ","positive event - company","","1) niemand 2) partner 3) inwonenden 4) familie, uitwonend 5) vrienden 6) klasgenoten, collega's 7) hulpverlener 8) onbekenden, anderen ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest positieve gebeurtenis. deze gebeurtenis was plezierig voor mij: ","think about the most positive event today. this event was (pleasantness): ","positive event - pleasantness","","minus 3 - very unpleasant (zeer onplezierig) 3 - very pleasant (zeer plezierig) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest positieve gebeurtenis. dit was belangrijk voor mij: ","think about the most positive event today. this event was (importance):","positive event - importance","","minus 3 - very unimportant (zeer onbelangrijk) 3 - very important (zeer belangrijk) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest positieve gebeurtenis. ik had controle over deze gebeurtenis. ","think about the most positive event today. i felt in control of the event. ","positive event - control ","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest positieve gebeurtenis. ik heb het er met iemand over gehad. ","think about the most positive event today. i talked about it to someone. ","emotion regulation - social support","","0 no (nee) 1 yes (ja)","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","inhoud reactie van deze personen","reaction of people: ","emotion regulation - perceived social support","","1 reageerden enthousiast 2 wezen ook op de negatieve kanten 3 zeiden weinig, maar waren blij voor mij 4 leken niet ge�nteresseerd","","think about the most positive event today. i talked about it to someone. ","yes","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","ik had het er graag met iemand over gehad ","i'd rather had talked about it to someone. ","emotion regulation - desired social suport","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","think about the most positive event today. i talked about it to someone. ","no","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest positieve gebeurtenis. ik heb er nog vaak aan gedacht. ","think about the most positive event today. i have thought about it a lot. ","emotion regulation - rumination","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","denk aan de meest positieve gebeurtenis. ik heb mijn emoties getoond. ","think about the most positive event today. i have shown my emotions. ","emotion regulation - emotion expression","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","globaal gezien heb ik me vandaag goed gevoeld. ","in general, i have feld good today. ","mood","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","vandaag had ik het gevoel dat anderen blij waren dat ik er was. ","today, i felt that other people were happy that i was there. ","","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","vandaag voelde ik me verbonden met anderen. ","today, i felt connected to other people. ","","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","this item is used with items ""vandaag ben ik bewust bezig geweest met de activiteiten die ik deed"", ""globaal gezien heb ik vandaag veel gepiekerd"", ""vandaag kon ik mijn (nare) gevoelens laten gaan zonder er iets mee te moeten"", ""ik kon me vandaag richten op de dingen die ik echt belangrijk vind in het leven""","",""
"","globaal gezien heb ik vandaag veel gepiekerd. ","in general, i have ruminated a lot today. ","psychological flexibility (r) - fusion (reverse score for defusion)","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","this item is used with items ""vandaag ben ik bewust bezig geweest met de activiteiten die ik deed"", ""vandaag voelde ik me verbonden met anderen"", ""vandaag kon ik mijn (nare) gevoelens laten gaan zonder er iets mee te moeten"", ""ik kon me vandaag richten op de dingen die ik echt belangrijk vind in het leven""","",""
"","vandaag ben ik bewust bezig geweest met de activiteiten die ik deed. ","today, i was consciously aware of the activities that i did.","psychological flexibility - mindfulness  ","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","this item is used with items ""globaal gezien heb ik vandaag veel gepiekerd"", ""vandaag voelde ik me verbonden met anderen"", ""vandaag kon ik mijn (nare) gevoelens laten gaan zonder er iets mee te moeten"", ""ik kon me vandaag richten op de dingen die ik echt belangrijk vind in het leven""","",""
"","vandaag kon ik mijn (nare) gevoelens laten gaan zonder er iets mee te moeten. ","today, i could let go of my negative feelings without acting upon them. ","psychological flexibility - acceptance","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","this item is used with items ""vandaag ben ik bewust bezig geweest met de activiteiten die ik deed"", ""vandaag voelde ik me verbonden met anderen"", ""globaal gezien heb ik vandaag veel gepiekerd"", ""ik kon me vandaag richten op de dingen die ik echt belangrijk vind in het leven""","",""
"","ik kon me vandaag richten op de dingen die ik echt belangrijk vind in het leven. ","today, i have invested in what i find important in my life","psychological flexibility - values & committed action ","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","this item is used with items ""vandaag ben ik bewust bezig geweest met de activiteiten die ik deed"", ""vandaag voelde ik me verbonden met anderen"", ""vandaag kon ik mijn (nare) gevoelens laten gaan zonder er iets mee te moeten"", ""globaal gezien heb ik vandaag veel gepiekerd""","",""
"","het invullen van het apparaatje heeft mijn stemming be�nvloed. ","filling out the psymate has influenced how i felt. ","psymate disturbance","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","zonder het apparaatje zou ik andere dingen hebben gedaan. ","without the psymate, i would have done different things. ","psymate disturbance","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","","yes","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","hoe lang duurde het voordat ik gisterenavond insliep? ","how long did it take before i fell asleep yesterday evening?","sleep item","","1) 0-5 min 2) 5-15 min 3) 15-30 min 4) 30-45 min 5) 45min-1u 6) 1-2uur 7) 2-4 uur 8) >4 uur","","","","","","yes","","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","hoe vaak werd ik afgelopen nacht wakker? ","how often did i awake during the night? ","sleep item","","0 1 2 3 4 5 >5","","","","","","yes","","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","hoe lang lag ik deze morgen wakker voordat ik opstond? ","how long did i spend awake before getting out of bed? ","sleep item","","1) 0-5 min 2) 5-15 min 3) 15-30 min 4) 30-45 min 5) 45min-1u 6) 1-2uur 7) 2-4 uur 8) >4 uur","","","","","","yes","","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","ik heb goed geslapen ","i've slept well. ","sleep item","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","yes","","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","ik heb zin in deze dag ","i'm looking forward to this day. ","anticipatory pleasure","","1 - not at all (niet) 4 - average (matig) 7 - a lot (zeer) ","","","","","","yes","","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","wat is de hoofdstad van canada? wat is de kans dat toronto juist is? ","what is the capital city of canada? what is the chance that toronto is the correct answer?  ","cognitive bias - jumping to conclusions","","1) 0% 2) 1-20% 3) 21-40% 4) 41-60% 5) 61-80% 6) 81-99% 7) 100%","","","","x","10","","","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","wat is de hoofdstad van canada? wat is de kans dat ottowa juist is? ","what is the capital city of canada? what is the chance that ottowa is the correct answer?  ","cognitive bias - jumping to conclusions","","1) 0% 2) 1-20% 3) 21-40% 4) 41-60% 5) 61-80% 6) 81-99% 7) 100%","","","","x","10","","","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","wat is de hoofdstad van canada? wat is de kans dat montreal juist is? ","what is the capital city of canada? what is the chance that montreal is the correct answer?  ","cognitive bias - jumping to conclusions","","1) 0% 2) 1-20% 3) 21-40% 4) 41-60% 5) 61-80% 6) 81-99% 7) 100%","","","","x","10","","","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","wat is de hoofdstad van vancouver? wat is de kans dat vancouver juist is? ","what is the capital city of canada? what is the chance that vancouver is the correct answer?  ","cognitive bias - jumping to conclusions","","1) 0% 2) 1-20% 3) 21-40% 4) 41-60% 5) 61-80% 6) 81-99% 7) 100%","","","","x","10","","","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","kiest u een van deze antwoordopties? ","do you pick one of these response options? ","cognitive bias - jumping to conclusions","","0 no (nee) 1 yes (ja)","","","","x","10","","","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","wat is volgens u het juiste antwoord? ","what is the correct answer? ","cognitive bias - jumping to conclusions","","1) toronto 2) ottowa 3) montreal 4) ik heb geen idee","","","","x","10","","","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","welke antwoordoptie is volgens u onjuist? ","which of the following responses is incorrect?  ","cognitive bias - jumping to conclusions","","1) toronto 2) ottowa 3) montreal 4) ik heb geen idee","","","","x","10","","","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","en welke nog meer? ","and which more? ","cognitive bias - jumping to conclusions","","1) toronto 2) ottowa 3) montreal 4) ik heb geen idee","","","","x","10","","","","","","yes","yes","no","no","yes","yes","ultra high risk (uhr) for psychosis, first episode of psychosis (fep)","interact","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","","n.a.","","","","phone","15 minutes","","","","","",""
"","net voor de beep was de focus van mijn gedachten 
","at the time i was paged, the focus of my thoughts was on
"," focus of attention","participants can select more than one option."," on other people rather than on myself; 
 on objects, ideas, or activities;  
 on my own thoughts, feelings, and obligations
 on the way i imagine other people think about me

eerder bij anderen dan bij mezelf
op objecten, idee�n of activiteiten 
op mijn gedachten, gevoelens of verplichtingen
op hoe ik denk dat andere mensen over mij denken ","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","translated. "," field, n. p., joudy, r., & hart, d. (2010). the moderating effect of self-concept valence on the relationship between self-focused attention and mood: an experience sampling study. journal of research in personality, 44(1), 70ﾖ77. https://doi.org/10.1016/j.jrp.2009.11.001","phone","90 seconds","","","","","",""
"","net voor de beep was de focus van mijn gedachten 

","at the time i was paged, the focus of my thoughts was on
","future orientation thoughts","participants can select more than one option.","the future
the present
the past

op de toekomst
op het nu
op het verleden","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","eisele et al., in preparation","translated and adapted to contain only the temporal characteristics of the thoughts.","hoffmann, f., banzhaf, c., kanske, p., bermpohl, f., & singer, t. (2016). where the depressed mind wanders: self-generated thought patterns as assessed through experience sampling as a state marker of depression. journal of affective disorders, 198, 127-134.","phone","90 seconds","","","","","",""
"","op dit moment voel ik me gelukkig.","right now, i feel happy","positive affect / high arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","barge-schaapveld, d. q., & nicolson, n. a. (2002). effects of antidepressant treatment on the quality of daily life: an experience sampling study. the journal of clinical psychiatry, 63(6), 477.","","","phone","90 seconds","","","","","",""
"","op dit moment voel ik me ontspannen","right now, i feel relaxed","positive affect / low arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h., ﾅ hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","phone","90 seconds","","","","","",""
"","op dit moment voel ik me energiek","right now i feel energetic","positive affect / high arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","peeters, f., nicholson, n. a., & berkhof, j. (2003). cortisol responses to daily events in major depressive disorder. psychosom med, 65(5), 836-841.","","","phone","90 seconds","","","","","",""
"","op dit moment voel ik me tevreden","right now, i feel content","positive affect / neutral arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h., ﾅ hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","phone","90 seconds","","","","","",""
"","op dit moment voel ik me nieuwsgierig","right now, i feel curious","positive affect / neutral arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","geschwind, n., peeters, f., drukker, m., van os, j., & wichers, m. (2011). mindfulness training increases momentary positive emotions and reward experience in adults vulnerable to depression: a randomized controlled trial. j consult clin psychol, 79(5), 618-628. doi:10.1037/a0024595","","","phone","90 seconds","","","","","",""
"","op dit moment ben ik kalm","right now, i feel calm","positive affect / low arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","barge-schaapveld, d. q., & nicolson, n. a. (2002). effects of antidepressant treatment on the quality of daily life: an experience sampling study. the journal of clinical psychiatry, 63(6), 477.","","","phone","90 seconds","","","","","",""
"","op dit moment voel ik me enthousiast","right now, i feel enthousiastic","positive affect / high arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","barge-schaapveld, d. q., & nicolson, n. a. (2002). effects of antidepressant treatment on the quality of daily life: an experience sampling study. the journal of clinical psychiatry, 63(6), 477.","","","phone","90 seconds","","","","","",""
"","op dit moment voel ik me alert","right now, i feel alert","positive affect / high arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","barge-schaapveld, d. q., & nicolson, n. a. (2002). effects of antidepressant treatment on the quality of daily life: an experience sampling study. the journal of clinical psychiatry, 63(6), 477.","","","phone","90 seconds","","","","","",""
"","op dit moment voel ik me opgewekt.","right now, i feel excited","positive affect / high arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","lataster, j., myin-germeys, i., wichers, m., delespaul, p. a., van os, j., & bak, m. (2011). psychotic exacerbation and emotional dampening in the daily life of patients with schizophrenia switched to aripiprazole therapy: a collection of standardized case reports. ther adv psychopharmacol, 1(5), 145-151. doi:10.1177/2045125311419552","","","phone","90 seconds","","","","","",""
"","op dit moment voel ik me gestrest","right now, i feel stressed","negative affect/ high arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","spelling was adapted. ","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h., ﾅ hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","phone","90 seconds","","","","","",""
